,zipcode,income,state
523,36720,7511,AL
524,36722,4836,AL
525,36726,75602,AL
526,36728,8672,AL
527,36732,173932,AL
528,36736,18195,AL
529,36738,13214,AL
530,36740,15641,AL
531,36742,48278,AL
532,36744,94636,AL
533,36748,57414,AL
534,36749,14720,AL
535,36750,53790,AL
536,36751,9350,AL
537,36752,37449,AL
538,36756,71657,AL
539,36758,22392,AL
540,36759,21346,AL
541,36761,14420,AL
542,36765,15823,AL
543,36767,19764,AL
544,36768,10688,AL
545,36769,37084,AL
546,36773,4585,AL
547,36775,13033,AL
548,36776,17432,AL
549,36782,38249,AL
550,36783,14192,AL
551,36784,150958,AL
552,36785,18630,AL
553,36786,29833,AL
554,36790,4948,AL
555,36792,21436,AL
556,36793,9360,AL
557,36801,505635,AL
558,36804,388755,AL
559,36830,1333325,AL
560,36832,371900,AL
561,36850,35420,AL
562,36852,37085,AL
563,36853,214365,AL
564,36854,270171,AL
565,36855,22731,AL
566,36856,127164,AL
567,36858,7070,AL
568,36860,19657,AL
569,36861,81580,AL
570,36862,89718,AL
571,36863,183707,AL
572,36865,4488,AL
573,36866,64641,AL
574,36867,379937,AL
575,36869,267868,AL
576,36870,341213,AL
577,36871,18831,AL
578,36874,189525,AL
579,36875,84636,AL
580,36877,258968,AL
581,36879,79660,AL
582,36901,3510,AL
583,36904,80608,AL
584,36907,21372,AL
585,36908,47417,AL
586,36912,23313,AL
587,36915,10073,AL
588,36916,9846,AL
589,36919,31578,AL
590,36921,21324,AL
591,36922,7378,AL
592,36925,32651,AL
593,99999,2179020,AL
594,0,24044661,AK
595,99501,588977,AK
596,99502,951979,AK
597,99503,462759,AK
598,99504,1099939,AK
599,99505,96924,AK
600,99506,118636,AK
601,99507,1494393,AK
602,99508,856606,AK
603,99510,22729,AK
604,99515,1037077,AK
605,99516,1404842,AK
606,99517,646776,AK
607,99518,343455,AK
608,99519,46674,AK
609,99540,10692,AK
610,99551,5042,AK
611,99552,2749,AK
612,99553,9021,AK
613,99554,4406,AK
614,99556,59751,AK
615,99557,9553,AK
616,99559,167837,AK
617,99561,2913,AK
618,99563,6743,AK
619,99567,334269,AK
620,99568,7827,AK
621,99572,14460,AK
622,99573,20362,AK
623,99574,77010,AK
624,99576,83659,AK
625,99577,1135936,AK
626,99578,4233,AK
627,99581,8873,AK
628,99585,2729,AK
629,99586,8895,AK
630,99587,99096,AK
631,99588,39728,AK
632,99589,2369,AK
633,99590,1501,AK
634,99603,364900,AK
635,99604,9903,AK
636,99605,3583,AK
637,99606,7323,AK
638,99609,4369,AK
639,99610,68477,AK
640,99611,451286,AK
641,99612,13558,AK
642,99613,17278,AK
643,99614,4613,AK
644,99615,378961,AK
645,99620,4888,AK
646,99621,6287,AK
647,99622,3738,AK
648,99627,6205,AK
649,99628,4924,AK
650,99630,2199,AK
651,99631,7663,AK
652,99632,7190,AK
653,99633,11812,AK
654,99634,1867,AK
655,99636,3614,AK
656,99637,5148,AK
657,99639,32302,AK
658,99641,3573,AK
659,99645,968035,AK
660,99650,4572,AK
661,99652,98911,AK
662,99653,6494,AK
663,99654,1007487,AK
664,99655,6063,AK
665,99657,2388,AK
666,99658,7464,AK
667,99659,3762,AK
668,99660,7374,AK
669,99661,16727,AK
670,99662,4331,AK
671,99663,12521,AK
672,99664,134016,AK
673,99669,575469,AK
674,99671,4965,AK
675,99672,113692,AK
676,99674,36119,AK
677,99676,49134,AK
678,99678,7761,AK
679,99679,2059,AK
680,99680,3407,AK
681,99681,2601,AK
682,99683,11239,AK
683,99684,17802,AK
684,99685,34950,AK
685,99686,154113,AK
686,99688,72536,AK
687,99689,11957,AK
688,99692,76270,AK
689,99693,6347,AK
690,99694,10863,AK
691,99701,437933,AK
692,99702,53533,AK
693,99703,132865,AK
694,99705,577914,AK
695,99706,62363,AK
696,99709,825908,AK
697,99712,345311,AK
698,99714,28041,AK
699,99720,2275,AK
700,99721,5144,AK
701,99723,140721,AK
702,99727,4687,AK
703,99729,6031,AK
704,99737,118715,AK
705,99740,9674,AK
706,99741,13038,AK
707,99742,4568,AK
708,99743,39273,AK
709,99746,2944,AK
710,99747,5876,AK
711,99749,5333,AK
712,99750,4144,AK
713,99752,78834,AK
714,99753,2454,AK
715,99755,15508,AK
716,99760,19230,AK
717,99761,7898,AK
718,99762,113837,AK
719,99763,5903,AK
720,99765,3419,AK
721,99766,9678,AK
722,99769,5103,AK
723,99770,5667,AK
724,99772,5842,AK
725,99777,4017,AK
726,99780,39412,AK
727,99782,9557,AK
728,99785,3496,AK
729,99786,4126,AK
730,99789,9261,AK
731,99791,4360,AK
732,99801,860726,AK
733,99820,5220,AK
734,99824,90664,AK
735,99826,15039,AK
736,99827,77913,AK
737,99829,15891,AK
738,99830,6951,AK
739,99833,103449,AK
740,99835,297692,AK
741,99840,45511,AK
742,99901,406259,AK
743,99919,13079,AK
744,99921,49618,AK
745,99922,4531,AK
746,99925,23002,AK
747,99926,23294,AK
748,99929,53652,AK
749,99999,2589767,AK
750,0,184823104,AZ
751,85003,290006,AZ
752,85004,232765,AZ
753,85006,352359,AZ
754,85007,278695,AZ
755,85008,797391,AZ
756,85009,443128,AZ
757,85012,407578,AZ
758,85013,707257,AZ
759,85014,765897,AZ
760,85015,545591,AZ
761,85016,1677786,AZ
762,85017,376062,AZ
763,85018,2507921,AZ
764,85019,311612,AZ
765,85020,1162716,AZ
766,85021,1031283,AZ
767,85022,1416256,AZ
768,85023,907859,AZ
769,85024,774926,AZ
770,85027,872651,AZ
771,85028,1062222,AZ
772,85029,784961,AZ
773,85031,322550,AZ
774,85032,1646489,AZ
775,85033,615610,AZ
776,85034,81778,AZ
777,85035,549251,AZ
778,85037,708537,AZ
779,85040,362724,AZ
780,85041,923249,AZ
781,85042,850795,AZ
782,85043,482662,AZ
783,85044,1572396,AZ
784,85045,407820,AZ
785,85048,1717586,AZ
786,85050,1404331,AZ
787,85051,633245,AZ
788,85053,602778,AZ
789,85054,335775,AZ
790,85083,811272,AZ
791,85085,977393,AZ
792,85086,1517264,AZ
793,85087,304877,AZ
794,85118,459022,AZ
795,85119,422299,AZ
796,85120,419037,AZ
797,85121,20892,AZ
798,85122,893721,AZ
799,85123,138896,AZ
800,85128,215822,AZ
801,85131,161827,AZ
802,85132,376185,AZ
803,85135,7584,AZ
804,85137,34882,AZ
805,85138,833646,AZ
806,85139,341695,AZ
807,85140,823243,AZ
808,85142,1986140,AZ
809,85143,715835,AZ
810,85145,47299,AZ
811,85147,60498,AZ
812,85172,28089,AZ
813,85173,39723,AZ
814,85192,19684,AZ
815,85193,43454,AZ
816,85194,155427,AZ
817,85201,741899,AZ
818,85202,810117,AZ
819,85203,783237,AZ
820,85204,1003571,AZ
821,85205,1110342,AZ
822,85206,775216,AZ
823,85207,1655501,AZ
824,85208,633359,AZ
825,85209,1018546,AZ
826,85210,639122,AZ
827,85212,1069706,AZ
828,85213,1162828,AZ
829,85215,591774,AZ
830,85224,1369684,AZ
831,85225,1686296,AZ
832,85226,1485945,AZ
833,85233,1258570,AZ
834,85234,1725705,AZ
835,85248,1787216,AZ
836,85249,2110080,AZ
837,85250,808866,AZ
838,85251,1931191,AZ
839,85253,3816652,AZ
840,85254,2524184,AZ
841,85255,4621284,AZ
842,85256,84258,AZ
843,85257,814483,AZ
844,85258,1730005,AZ
845,85259,1817035,AZ
846,85260,2169552,AZ
847,85262,1751971,AZ
848,85263,143177,AZ
849,85264,48193,AZ
850,85266,1091206,AZ
851,85268,1153225,AZ
852,85281,997509,AZ
853,85282,1240870,AZ
854,85283,1179223,AZ
855,85284,1367529,AZ
856,85286,1816290,AZ
857,85295,1569852,AZ
858,85296,1563271,AZ
859,85297,1175802,AZ
860,85298,1558318,AZ
861,85301,650845,AZ
862,85302,700162,AZ
863,85303,511962,AZ
864,85304,652615,AZ
865,85305,315651,AZ
866,85306,542104,AZ
867,85307,177535,AZ
868,85308,2028470,AZ
869,85309,7378,AZ
870,85310,795698,AZ
871,85320,11783,AZ
872,85321,47367,AZ
873,85322,11428,AZ
874,85323,669389,AZ
875,85324,48995,AZ
876,85325,9666,AZ
877,85326,1086829,AZ
878,85331,1610865,AZ
879,85332,26802,AZ
880,85333,6255,AZ
881,85334,14708,AZ
882,85335,521719,AZ
883,85336,8514,AZ
884,85337,33856,AZ
885,85338,1379755,AZ
886,85339,936705,AZ
887,85340,1059256,AZ
888,85341,6703,AZ
889,85342,30647,AZ
890,85343,7000,AZ
891,85344,166704,AZ
892,85345,1081203,AZ
893,85346,19085,AZ
894,85347,10800,AZ
895,85348,24035,AZ
896,85349,464910,AZ
897,85350,241124,AZ
898,85351,654380,AZ
899,85352,9308,AZ
900,85353,648693,AZ
901,85354,106249,AZ
902,85355,361314,AZ
903,85356,59582,AZ
904,85357,4844,AZ
905,85360,3924,AZ
906,85361,129945,AZ
907,85362,7945,AZ
908,85363,99882,AZ
909,85364,1304893,AZ
910,85365,1002798,AZ
911,85367,378897,AZ
912,85373,453348,AZ
913,85374,1033472,AZ
914,85375,857708,AZ
915,85377,378896,AZ
916,85379,1066461,AZ
917,85381,791320,AZ
918,85382,1236490,AZ
919,85383,2554689,AZ
920,85387,357393,AZ
921,85388,658012,AZ
922,85390,176544,AZ
923,85392,850212,AZ
924,85395,1102143,AZ
925,85396,702586,AZ
926,85501,150549,AZ
927,85530,14476,AZ
928,85531,13161,AZ
929,85533,49135,AZ
930,85534,41352,AZ
931,85536,5425,AZ
932,85539,42301,AZ
933,85540,98080,AZ
934,85541,490243,AZ
935,85542,23799,AZ
936,85543,64566,AZ
937,85544,71054,AZ
938,85545,7484,AZ
939,85546,276750,AZ
940,85550,46073,AZ
941,85551,8391,AZ
942,85552,141326,AZ
943,85553,27049,AZ
944,85554,9892,AZ
945,85601,8953,AZ
946,85602,181008,AZ
947,85603,118671,AZ
948,85605,7774,AZ
949,85606,14347,AZ
950,85607,194822,AZ
951,85608,23750,AZ
952,85609,5596,AZ
953,85610,17965,AZ
954,85611,19066,AZ
955,85613,55360,AZ
956,85614,684675,AZ
957,85615,247075,AZ
958,85616,91345,AZ
959,85617,15866,AZ
960,85618,20603,AZ
961,85620,10699,AZ
962,85621,299745,AZ
963,85622,245781,AZ
964,85623,141512,AZ
965,85624,28580,AZ
966,85625,29385,AZ
967,85626,10532,AZ
968,85627,6770,AZ
969,85629,721429,AZ
970,85630,50716,AZ
971,85631,47707,AZ
972,85632,10978,AZ
973,85634,71500,AZ
974,85635,755259,AZ
975,85637,55078,AZ
976,85638,30292,AZ
977,85640,16950,AZ
978,85641,844044,AZ
979,85643,104568,AZ
980,85645,28163,AZ
981,85646,68575,AZ
982,85648,351236,AZ
983,85650,460640,AZ
984,85653,326691,AZ
985,85658,576001,AZ
986,85701,138316,AZ
987,85704,1056031,AZ
988,85705,599217,AZ
989,85706,567920,AZ
990,85707,8378,AZ
991,85708,53847,AZ
992,85710,1104754,AZ
993,85711,726624,AZ
994,85712,618422,AZ
995,85713,566539,AZ
996,85714,150301,AZ
997,85715,705734,AZ
998,85716,676642,AZ
999,85718,2143301,AZ
1000,85719,608969,AZ
1001,85730,750801,AZ
1002,85735,181058,AZ
1003,85736,51593,AZ
1004,85737,977485,AZ
1005,85739,647482,AZ
1006,85741,753603,AZ
1007,85742,875553,AZ
1008,85743,863196,AZ
1009,85745,964079,AZ
1010,85746,635800,AZ
1011,85747,743440,AZ
1012,85748,652994,AZ
1013,85749,938647,AZ
1014,85750,1491152,AZ
1015,85755,815507,AZ
1016,85756,494236,AZ
1017,85757,339589,AZ
1018,85901,296947,AZ
1019,85911,8998,AZ
1020,85912,4932,AZ
1021,85920,13180,AZ
1022,85923,5924,AZ
1023,85924,30432,AZ
1024,85925,78296,AZ
1025,85926,17286,AZ
