,zipcode,tot_income,state,population,city,lat,long,county,av_income
1892,72531,11461,AR,1010,ELIZABETH,36.31,-92.09,Baxter,11348.0
1893,72531,11461,AR,1010,ELIZABETH,36.31,-92.09,Fulton,11348.0
1894,72532,21467,AR,1438,EVENING SHADE,36.07,-91.62,Sharp,14928.0
1895,72533,3754,AR,498,FIFTY SIX,36.02,-92.22,Stone,7538.0
1896,72534,20863,AR,1937,FLORAL,35.61,-91.73,Cleburne,10771.0
1897,72534,20863,AR,1937,FLORAL,35.61,-91.73,Independence,10771.0
1898,72536,6551,AR,375,FRANKLIN,36.17,-91.77,Izard,17469.0
1899,72537,13381,AR,595,GAMALIEL,36.46,-92.2,Baxter,22489.0
1900,72538,5184,AR,181,GEPP,36.44,-92.09,Baxter,28641.0
1901,72538,5184,AR,181,GEPP,36.44,-92.09,Fulton,28641.0
1902,72539,6097,AR,180,GLENCOE,36.29,-91.77,Fulton,33872.0
1903,72542,50940,AR,3917,HARDY,36.32,-91.48,Sharp,13005.0
1904,72543,258314,AR,12058,HEBER SPRINGS,35.5,-92.03,Cleburne,21423.0
1905,72544,10233,AR,571,HENDERSON,36.34,-92.23,Baxter,17921.0
1906,72550,14253,AR,669,LOCUST GROVE,35.71,-91.75,Cleburne,21305.0
1907,72550,14253,AR,669,LOCUST GROVE,35.71,-91.75,Independence,21305.0
1908,72554,35237,AR,2546,MAMMOTH SPRING,36.49,-91.54,Fulton,13840.0
1909,72554,35237,AR,2546,MAMMOTH SPRING,36.49,-91.54,Sharp,13840.0
1910,72556,64508,AR,2984,MELBOURNE,36.06,-91.89,Izard,21618.0
1911,72560,134641,AR,8952,MOUNTAIN VIEW,35.87,-92.11,Stone,15040.0
1912,72561,13286,AR,807,MOUNT PLEASANT,35.98,-91.77,Izard,16463.0
1913,72562,34151,AR,2310,NEWARK,35.7,-91.44,Independence,14784.0
1914,72564,6329,AR,581,OIL TROUGH,35.62,-91.46,Independence,10893.0
1915,72565,9758,AR,670,OXFORD,36.2,-91.91,Izard,14564.0
1916,72566,9186,AR,691,PINEVILLE,36.15,-92.1,Izard,13294.0
1917,72567,3444,AR,302,PLEASANT GROVE,35.84,-91.92,Stone,11404.0
1918,72568,25742,AR,1332,PLEASANT PLAINS,35.55,-91.62,Independence,19326.0
1919,72569,5229,AR,444,POUGHKEEPSIE,36.08,-91.43,Sharp,11777.0
1920,72571,7528,AR,315,ROSIE,35.65,-91.53,Independence,23898.0
1921,72573,4917,AR,214,SAGE,36.04,-91.82,Izard,22977.0
1922,72576,55925,AR,4445,SALEM,36.37,-91.82,Fulton,12582.0
1923,72577,9216,AR,462,SIDNEY,36.0,-91.65,Sharp,19948.0
1924,72579,25297,AR,1217,SULPHUR ROCK,35.75,-91.49,Independence,20786.0
1925,72581,20137,AR,1108,TUMBLING SHOALS,35.55,-91.95,Cleburne,18174.0
1926,72583,22307,AR,1817,VIOLA,36.39,-91.98,Fulton,12277.0
1927,72584,6786,AR,657,VIOLET HILL,36.16,-91.85,Izard,10329.0
1928,72601,537885,AR,30184,HARRISON,36.24,-93.11,Boone,17820.0
1929,72601,537885,AR,30184,HARRISON,36.24,-93.11,Marion,17820.0
1930,72601,537885,AR,30184,HARRISON,36.24,-93.11,Newton,17820.0
1931,72611,28293,AR,1621,ALPENA,36.29,-93.29,Boone,17454.0
1932,72611,28293,AR,1621,ALPENA,36.29,-93.29,Carroll,17454.0
1933,72616,180555,AR,10545,BERRYVILLE,36.37,-93.56,Carroll,17122.0
1934,72616,180555,AR,10545,BERRYVILLE,36.37,-93.56,Newton,17122.0
1935,72619,32982,AR,2301,BULL SHOALS,36.37,-92.58,Marion,14334.0
1936,72623,10858,AR,1042,CLARKRIDGE,36.45,-92.34,Baxter,10420.0
1937,72624,6718,AR,275,COMPTON,36.08,-93.3,Newton,24429.0
1938,72626,21610,AR,1201,COTTER,36.28,-92.52,Baxter,17993.0
1939,72628,8731,AR,839,DEER,35.84,-93.35,Newton,10406.0
1940,72629,6815,AR,389,DENNARD,35.72,-92.58,Van Buren,17519.0
1941,72631,88013,AR,4120,EUREKA SPRINGS,36.39,-93.73,Carroll,21362.0
1942,72632,90085,AR,4063,EUREKA SPRINGS,36.39,-93.73,Carroll,22172.0
1943,72633,24063,AR,1775,EVERTON,36.15,-92.9,Boone,13557.0
1944,72634,79529,AR,4697,FLIPPIN,36.27,-92.59,Marion,16932.0
1945,72635,60589,AR,3833,GASSVILLE,36.28,-92.49,Baxter,15807.0
1946,72638,108705,AR,7430,GREEN FOREST,36.33,-93.42,Carroll,14631.0
1947,72638,108705,AR,7430,GREEN FOREST,36.33,-93.42,Newton,14631.0
1948,72639,4856,AR,715,HARRIET,35.98,-92.49,Searcy,6792.0
1949,72640,4718,AR,185,HASTY,36.01,-93.04,Newton,25503.0
1950,72641,33720,AR,2602,JASPER,36.0,-93.18,Newton,12959.0
1951,72642,36637,AR,1787,LAKEVIEW,36.37,-92.53,Baxter,20502.0
1952,72644,35014,AR,2823,LEAD HILL,36.41,-92.9,Boone,12403.0
1953,72644,35014,AR,2823,LEAD HILL,36.41,-92.9,Marion,12403.0
1954,72645,19477,AR,2093,LESLIE,35.82,-92.55,Searcy,9306.0
1955,72648,9574,AR,805,MARBLE FALLS,36.08,-93.15,Newton,11893.0
1956,72650,52253,AR,4140,MARSHALL,35.9,-92.63,Searcy,12621.0
1957,72651,19276,AR,1313,MIDWAY,36.28,-92.43,Baxter,14681.0
1958,72653,595343,AR,27546,MOUNTAIN HOME,36.33,-92.37,Baxter,21613.0
1959,72653,595343,AR,27546,MOUNTAIN HOME,36.33,-92.37,Marion,21613.0
1960,72655,4584,AR,460,MOUNT JUDEA,35.83,-93.04,Newton,9965.0
1961,72658,27358,AR,2223,NORFORK,36.2,-92.28,Baxter,12307.0
1962,72658,27358,AR,2223,NORFORK,36.2,-92.28,Marion,12307.0
1963,72660,6915,AR,621,OAK GROVE,36.45,-93.43,Carroll,11135.0
1964,72661,9196,AR,424,OAKLAND,36.44,-92.57,Marion,21689.0
1965,72662,53226,AR,2770,OMAHA,36.46,-93.19,Boone,19215.0
1966,72662,53226,AR,2770,OMAHA,36.46,-93.19,Carroll,19215.0
1967,72663,3565,AR,520,ONIA,35.94,-92.33,Baxter,6856.0
1968,72663,3565,AR,520,ONIA,35.94,-92.33,Stone,6856.0
1969,72666,3683,AR,150,PARTHENON,35.93,-93.28,Newton,24553.0
1970,72668,7528,AR,354,PEEL,36.41,-92.76,Marion,21266.0
1971,72672,3592,AR,272,PYATT,36.25,-92.84,Marion,13206.0
1972,72675,17742,AR,1312,SAINT JOE,35.98,-92.81,Marion,13523.0
1973,72675,17742,AR,1312,SAINT JOE,35.98,-92.81,Searcy,13523.0
1974,72677,6921,AR,394,SUMMIT,36.25,-92.68,Marion,17566.0
