occupation,state,tot_employement,perc,h_mean,annual_mean,10,25,med,75,90
"Arts, Design, Entertainment, Sports, and Media",GA,51300,11.921,25.89,53840,20830,29130,46390,68800,94490
Healthcare Practitioners and Technical,GA,242940,56.452,36.18,75250,29890,41810,60330,82040,127360
Healthcare Support,GA,100960,23.459,14.21,29550,19040,22160,27380,35040,43420
Protective Service,GA,105260,24.458,18.35,38160,19850,26830,35510,45640,58560
Food Preparation and Serving Related,GA,411950,95.724,10.03,20850,16340,17320,18960,22390,28510
Building and Grounds Cleaning and Maintenance,GA,115460,26.828,12.42,25830,17120,19230,23490,29880,38480
Personal Care and Service,GA,95590,22.212,12.35,25700,16690,18220,21430,28400,40740
Sales and Related,GA,462430,107.454,17.76,36940,16770,18770,24480,43100,71130
Office and Administrative Support,GA,654430,152.068,17.27,35920,19690,24950,32580,43340,58440
"Farming, Fishing, and Forestry",GA,11550,2.683,13.92,28950,17310,19810,24790,35900,46630
Construction and Extraction,GA,149270,34.685,20.04,41690,22930,28770,37340,50890,65790
"Installation, Maintenance, and Repair",GA,177970,41.355,21.82,45380,23150,31190,42110,56920,73820
Production,GA,304160,70.676,16.51,34330,19580,23570,30640,40470,54990
Transportation and Material Moving,GA,362710,84.281,16.68,34690,18190,21920,29550,41700,57040
All,HI,632990,1000,25.02,52050,20990,27960,41650,62750,95800
Management,HI,35010,55.314,50.15,104320,45410,64470,92600,126280,173860
Business and Financial Operations,HI,27350,43.211,33.07,68780,39060,49600,63760,83830,102620
Computer and Mathematical,HI,9960,15.74,38.36,79790,43410,57970,77450,98030,116970
Architecture and Engineering,HI,9310,14.709,39,81110,47370,61190,79900,98240,114330
"Life, Physical, and Social Science",HI,6150,9.715,34.37,71500,33440,46340,65440,88770,114330
Community and Social Service,HI,10300,16.279,25.62,53280,29200,37080,50720,64480,80910
Legal,HI,3880,6.135,43.84,91190,40450,54890,78920,105950,161630
"Education, Training, and Library",HI,43180,68.221,25.45,52940,27010,35110,48320,63830,81090
"Arts, Design, Entertainment, Sports, and Media",HI,9430,14.904,26.93,56010,20390,31710,47860,68020,99570
Healthcare Practitioners and Technical,HI,31050,49.047,46.48,96670,39310,55260,84710,115740,152580
Healthcare Support,HI,19920,31.468,16.92,35190,21360,26780,33350,40770,49560
Protective Service,HI,20230,31.963,29.8,61990,23840,31000,42470,63630,147420
Food Preparation and Serving Related,HI,82120,129.733,16.46,34230,19680,21170,27330,41910,57060
Building and Grounds Cleaning and Maintenance,HI,36260,57.291,16.65,34630,20320,25950,34800,41540,48770
Personal Care and Service,HI,22240,35.127,14.94,31080,19510,20780,26690,36490,48890
Sales and Related,HI,61920,97.817,17.52,36430,19560,21690,27670,40890,62480
Office and Administrative Support,HI,89790,141.846,19.23,39990,22600,29200,37800,48520,59850
"Farming, Fishing, and Forestry",HI,770,1.211,18.17,37800,20840,26990,35870,46590,58150
Construction and Extraction,HI,32550,51.425,32.43,67450,35000,47230,64300,86720,100910
"Installation, Maintenance, and Repair",HI,25530,40.335,26.58,55290,29450,39070,53540,69480,84230
Production,HI,15080,23.82,20.01,41620,20460,25180,36490,51750,72000
Transportation and Material Moving,HI,40950,64.689,22.44,46680,20740,25530,36740,51730,78120
All,ID,685630,1000,20.31,42240,18180,22830,33250,51060,76440
Management,ID,38510,56.161,39.41,81980,31460,48300,70380,101490,143140
Business and Financial Operations,ID,26350,38.434,30.53,63510,30430,41130,56400,76890,100640
Computer and Mathematical,ID,14110,20.577,33.76,70210,32250,45400,66290,90470,116740
Architecture and Engineering,ID,12970,18.919,38.53,80140,39640,55200,75880,100250,126090
"Life, Physical, and Social Science",ID,9670,14.104,26.14,54370,27910,33220,49770,68240,87410
Community and Social Service,ID,11820,17.243,20.43,42490,20700,31730,40540,51300,61930
Legal,ID,3940,5.74,37.67,78360,33850,43810,62020,95310,137390
"Education, Training, and Library",ID,42210,61.558,20.04,41690,17830,22060,35440,52910,73460
"Arts, Design, Entertainment, Sports, and Media",ID,8100,11.815,19.45,40460,17500,21170,33010,51410,73700
Healthcare Practitioners and Technical,ID,37650,54.912,35.66,74180,31390,43420,61400,80270,123820
Healthcare Support,ID,19430,28.342,14.12,29370,20160,23200,27980,33710,39440
Protective Service,ID,12950,18.881,20.42,42470,19830,26020,38390,53950,72270
Food Preparation and Serving Related,ID,61520,89.726,10.34,21510,16390,17430,19180,23590,30500
Building and Grounds Cleaning and Maintenance,ID,23160,33.78,12.7,26410,17320,19680,23930,30610,39160
Personal Care and Service,ID,23100,33.695,11.71,24360,16810,18580,21860,26070,35850
Sales and Related,ID,70210,102.404,16.78,34910,17030,19470,25200,39180,63370
Office and Administrative Support,ID,106200,154.9,16.2,33690,20120,24770,31290,39440,50710
"Farming, Fishing, and Forestry",ID,6260,9.125,14.32,29780,16720,18380,23740,36230,52120
Construction and Extraction,ID,39820,58.077,20.03,41650,23400,29490,37970,51690,63900
"Installation, Maintenance, and Repair",ID,30300,44.192,21.14,43980,23260,30740,40480,54540,67990
