occupation,state,tot_employement,perc,h_mean,annual_mean,10,25,med,75,90
"Installation, Maintenance, and Repair",TN,127230,43.637,21.63,45000,25190,31880,41680,56090,70720
Production,TN,266090,91.259,17.07,35510,20550,24850,32400,42520,55930
Transportation and Material Moving,TN,270020,92.608,16.26,33810,18690,22890,30340,39950,55230
All,TX,11890880,1000,23.42,48700,18400,23480,36170,59340,92460
Management,TX,465360,39.136,60.7,126250,53320,74830,106250,155690,#
Business and Financial Operations,TX,575030,48.359,37.61,78240,39570,52480,70250,94360,124910
Computer and Mathematical,TX,353460,29.725,43,89450,43540,60590,85020,114710,142370
Architecture and Engineering,TX,233710,19.655,46.83,97400,41670,59530,84660,121880,163910
"Life, Physical, and Social Science",TX,77880,6.549,36.12,75130,32270,44010,61960,89710,128780
Community and Social Service,TX,116000,9.756,23.39,48660,26820,35200,45230,59900,75970
Legal,TX,81400,6.845,50.98,106040,34410,51360,81740,140240,#
"Education, Training, and Library",TX,756500,63.621,24.77,51520,19990,28550,50420,62830,79300
"Arts, Design, Entertainment, Sports, and Media",TX,132560,11.148,25.91,53900,21110,29300,45480,65600,94110
Healthcare Practitioners and Technical,TX,670610,56.397,36.82,76580,31480,44340,62700,87140,129320
Healthcare Support,TX,327980,27.583,14.18,29500,17640,20580,25970,33670,43840
Protective Service,TX,297100,24.986,21.72,45180,19840,26070,40530,59130,79380
Food Preparation and Serving Related,TX,1156950,97.297,11.34,23580,16530,17810,20090,25610,36270
Building and Grounds Cleaning and Maintenance,TX,333360,28.035,12.18,25340,17120,19190,22990,28620,36700
Personal Care and Service,TX,397120,33.397,11.11,23100,16480,17640,19610,24100,34660
Sales and Related,TX,1270630,106.857,20.06,41730,17290,20050,27390,48370,82630
Office and Administrative Support,TX,2011070,169.127,17.72,36860,20380,25570,33480,44360,59060
"Farming, Fishing, and Forestry",TX,20860,1.754,13.21,27470,16890,18810,23160,31410,44350
Construction and Extraction,TX,596630,50.175,20.96,43600,25350,30440,38420,52160,69130
"Installation, Maintenance, and Repair",TX,505620,42.522,22.06,45880,24590,31420,41780,57170,74020
Production,TX,658450,55.375,18.75,38990,19680,24600,33280,47330,67110
Transportation and Material Moving,TX,852610,71.703,18.58,38640,18860,23330,31690,44450,62920
All,UT,1410670,1000,22.33,46460,19170,24440,35650,56390,84810
Management,UT,92960,65.898,45.19,93990,33990,52870,80060,118980,166200
Business and Financial Operations,UT,70800,50.186,31.3,65110,32860,42950,58360,79380,102450
Computer and Mathematical,UT,48640,34.483,38.77,80650,38020,53700,75810,101950,129390
Architecture and Engineering,UT,26770,18.975,37.11,77190,41260,55180,72660,95070,119370
"Life, Physical, and Social Science",UT,12360,8.761,29.81,62000,28300,37840,54610,75690,100130
Community and Social Service,UT,19180,13.593,21.08,43850,21800,26480,38240,54490,72170
Legal,UT,9050,6.417,39.55,82270,32850,41960,63310,104780,152870
"Education, Training, and Library",UT,89980,63.785,24.11,50140,20690,26320,42570,62100,87060
"Arts, Design, Entertainment, Sports, and Media",UT,21880,15.51,23.66,49220,19830,28580,41410,59460,81760
Healthcare Practitioners and Technical,UT,68820,48.784,36.26,75430,29810,42260,60210,80660,128950
Healthcare Support,UT,33620,23.836,14.25,29640,20840,23620,27920,33130,39910
Protective Service,UT,22540,15.98,19.7,40970,19260,25060,37540,52400,66320
Food Preparation and Serving Related,UT,110510,78.34,11.05,22980,16630,18020,20520,25670,32650
Building and Grounds Cleaning and Maintenance,UT,43420,30.778,12.56,26120,17050,19080,23840,30110,38860
Personal Care and Service,UT,42470,30.104,12.07,25100,16930,18750,22320,27870,37680
Sales and Related,UT,138470,98.16,18.4,38270,17360,20180,26420,43710,73360
Office and Administrative Support,UT,242120,171.634,16.62,34580,20700,25200,31570,40240,53010
"Farming, Fishing, and Forestry",UT,1380,0.981,14.2,29530,18310,21410,26580,34790,45220
Construction and Extraction,UT,80310,56.931,20.98,43630,25350,31990,41280,53520,64250
"Installation, Maintenance, and Repair",UT,55650,39.453,22.53,46860,24450,32340,44560,58800,73740
Production,UT,91290,64.715,17.58,36570,21240,25620,32630,43720,58430
Transportation and Material Moving,UT,88440,62.695,17.77,36960,19540,24100,32740,45470,58860
All,VT,305110,1000,23.48,48840,22820,27940,38640,58050,83010
Management,VT,13870,45.459,47.24,98250,44410,61130,85050,118210,165260
Business and Financial Operations,VT,15990,52.418,31.83,66200,36640,46670,60210,79390,100110
Computer and Mathematical,VT,7280,23.863,35.25,73330,38790,50570,69250,92480,116970
Architecture and Engineering,VT,6150,20.172,35.55,73940,41330,52340,67740,89300,118040
"Life, Physical, and Social Science",VT,3000,9.827,37.79,78590,37950,47320,62030,79490,123800
Community and Social Service,VT,9620,31.54,21.13,43960,27500,32120,39240,52460,66160
Legal,VT,2110,6.905,40.63,84520,42250,49960,69480,105490,147400
"Education, Training, and Library",VT,26850,88.012,25.15,52310,23820,30810,45050,65240,87130
"Arts, Design, Entertainment, Sports, and Media",VT,5980,19.587,22.67,47150,23100,29540,39730,56890,78650
Healthcare Practitioners and Technical,VT,19320,63.318,40.87,85020,35550,50540,65760,92010,156770
Healthcare Support,VT,6640,21.758,16.24,33770,23240,26480,30640,37760,48440
Protective Service,VT,5570,18.255,20.57,42780,22210,27810,38690,53030,68340
Food Preparation and Serving Related,VT,25950,85.062,14.2,29540,20820,22480,26040,33640,43510
Building and Grounds Cleaning and Maintenance,VT,10800,35.393,14.97,31140,21740,23840,28590,35960,44650
Personal Care and Service,VT,12990,42.572,15.13,31470,21630,23390,27170,34780,47110
Sales and Related,VT,28970,94.958,19.05,39620,21160,22830,27630,43440,67210
Office and Administrative Support,VT,40680,133.334,18.6,38680,23760,29060,36290,45760,57540
"Farming, Fishing, and Forestry",VT,1340,4.376,16.14,33570,21930,24360,31430,37570,49800
Construction and Extraction,VT,13870,45.466,21.8,45340,28790,34250,41860,52700,64650
"Installation, Maintenance, and Repair",VT,11840,38.816,22.71,47240,27960,34480,44200,57180,72910
Production,VT,19700,64.559,18.96,39430,23920,28070,35160,46470,62920
Transportation and Material Moving,VT,16580,54.349,17.99,37420,22330,26120,34610,44320,57760
All,VA,3789910,1000,25.95,53980,18890,25100,39800,66460,107540
Management,VA,168390,44.43,65.79,136850,59840,85890,123220,165420,#
Business and Financial Operations,VA,265210,69.977,40.47,84180,43190,56670,76810,102400,131850
Computer and Mathematical,VA,201680,53.215,48.47,100830,52360,70610,97390,127950,157600
Architecture and Engineering,VA,74990,19.786,42.68,88780,45240,60670,81810,111550,145020
"Life, Physical, and Social Science",VA,33020,8.714,41.03,85340,38100,52180,76720,111680,146930
Community and Social Service,VA,54960,14.501,24.07,50070,27880,35470,45770,60550,79060
Legal,VA,34900,9.209,50.37,104760,37380,55880,91180,139310,172100
"Education, Training, and Library",VA,242610,64.015,27.79,57790,22720,33250,50240,74380,100310
"Arts, Design, Entertainment, Sports, and Media",VA,49100,12.955,28.13,58520,21900,32400,52040,76410,101590
Healthcare Practitioners and Technical,VA,208090,54.906,38.45,79980,32630,44260,62870,90250,140620
Healthcare Support,VA,93910,24.779,15.17,31550,19910,23330,28580,35960,47530
Protective Service,VA,102330,27.001,22.59,46990,22270,31430,41820,56970,78600
Food Preparation and Serving Related,VA,331100,87.365,11.35,23600,16560,17910,20430,26170,35720
Building and Grounds Cleaning and Maintenance,VA,127030,33.517,13.06,27170,17410,20070,24520,31000,40710
Personal Care and Service,VA,128280,33.847,13.06,27170,16690,18280,22210,30570,46970
Sales and Related,VA,392540,103.574,19.07,39660,17020,19390,25630,45100,77710
Office and Administrative Support,VA,548320,144.678,18.26,37980,20530,26340,34980,46480,59980
"Farming, Fishing, and Forestry",VA,6230,1.644,16.46,34230,18800,23430,30960,41630,55150
Construction and Extraction,VA,156390,41.265,21.45,44610,25670,31750,40890,53890,67520
"Installation, Maintenance, and Repair",VA,156160,41.205,23.73,49350,25570,34240,46780,61930,77740
Production,VA,177960,46.957,18.09,37620,20390,25380,33860,46610,60580
Transportation and Material Moving,VA,236710,62.459,18.21,37880,18810,23360,32190,45370,61090
All,WA,3186610,1000,27.63,57480,24510,30050,44440,70500,106640
Management,WA,161960,50.826,60.04,124890,58070,79500,111500,153200,206180
Business and Financial Operations,WA,203780,63.949,38.03,79090,41990,54350,71300,96250,126560
Computer and Mathematical,WA,157400,49.395,51.45,107020,53850,73910,104360,134990,163620
Architecture and Engineering,WA,74990,23.533,45.36,94350,53210,68200,90210,116910,145660
"Life, Physical, and Social Science",WA,35800,11.234,35.17,73150,37520,50080,67170,89730,114990
Community and Social Service,WA,46660,14.644,24.09,50110,29700,36520,47670,59770,75040
Legal,WA,20320,6.377,47.72,99250,42560,57760,82070,121740,172730
"Education, Training, and Library",WA,183490,57.581,26.64,55410,29110,36290,50310,68560,80610
"Arts, Design, Entertainment, Sports, and Media",WA,47820,15.007,27.62,57440,25320,33820,50120,72800,98470
Healthcare Practitioners and Technical,WA,163410,51.28,42.63,88670,41070,55000,75050,100460,139920
Healthcare Support,WA,83720,26.272,17.56,36530,24690,27620,33390,42000,52980
Protective Service,WA,65740,20.631,27.84,57900,26100,33940,51960,78660,99000
Food Preparation and Serving Related,WA,290270,91.092,14.46,30080,23370,24090,25640,32060,42040
Building and Grounds Cleaning and Maintenance,WA,89480,28.079,15.96,33200,23790,25370,30690,38180,47460
Personal Care and Service,WA,118650,37.233,15.64,32540,23570,24730,27990,34120,50270
Sales and Related,WA,301700,94.676,21.41,44520,23590,24730,31860,49340,78810
Office and Administrative Support,WA,440310,138.175,20.16,41930,25570,31080,38820,49730,61500
"Farming, Fishing, and Forestry",WA,18200,5.712,16.34,33980,23430,24410,28990,39850,52140
Construction and Extraction,WA,152150,47.748,28.1,58450,32150,39840,54060,73200,94820
"Installation, Maintenance, and Repair",WA,123380,38.717,25.88,53820,28930,37150,50770,66020,85490
Production,WA,177920,55.833,22.27,46310,25450,30760,39900,56220,78150
Transportation and Material Moving,WA,229460,72.008,20.61,42870,24220,27290,35970,48890,65440
All,WV,688530,1000,19.9,41400,19190,21600,31540,50380,74060
Management,WV,30110,43.731,42.16,87680,32230,51050,75390,109570,155070
Business and Financial Operations,WV,22080,32.068,29.33,61000,29390,39530,56910,76990,97250
Computer and Mathematical,WV,10880,15.798,33.53,69750,34070,45880,63210,87880,113400
Architecture and Engineering,WV,8730,12.679,35.45,73730,35990,49700,70410,93700,117750
"Life, Physical, and Social Science",WV,6070,8.815,27.79,57800,29830,39180,52090,71120,94010
Community and Social Service,WV,12060,17.511,18.24,37950,21320,27160,34920,45710,59720
Legal,WV,6000,8.721,32.83,68290,31660,40810,56730,84930,119430
"Education, Training, and Library",WV,43050,62.521,21.85,45440,23030,33280,43250,54250,64540
"Arts, Design, Entertainment, Sports, and Media",WV,4910,7.132,21.97,45710,19620,24420,35990,57700,87850
Healthcare Practitioners and Technical,WV,58230,84.566,32.83,68280,25870,36620,54030,74450,119140
Healthcare Support,WV,21820,31.695,13.18,27420,19460,20950,25020,30430,38720
Protective Service,WV,15480,22.488,16.84,35020,19650,22340,30810,44400,56630
Food Preparation and Serving Related,WV,63210,91.809,10.72,22290,18840,19160,19880,23120,28960
Building and Grounds Cleaning and Maintenance,WV,20460,29.721,11.98,24920,19020,19630,22270,27740,35080
Personal Care and Service,WV,25770,37.426,10.93,22730,18810,19110,19730,22900,30220
Sales and Related,WV,67920,98.639,14.34,29830,18740,19190,21900,31140,50800
Office and Administrative Support,WV,105330,152.984,15.44,32110,19500,22310,28670,37930,50630
"Farming, Fishing, and Forestry",WV,1440,2.085,14.73,30630,19130,20280,28000,37400,46440
Construction and Extraction,WV,38620,56.092,22.98,47800,25190,31460,43080,60870,76870
"Installation, Maintenance, and Repair",WV,35730,51.889,20.09,41790,21000,27180,37520,52950,70920
Production,WV,37280,54.144,19.25,40040,20190,24460,34310,51100,70180
Transportation and Material Moving,WV,53350,77.487,16.44,34200,19460,22360,29920,40820,57450
All,WI,2825170,1000,22.24,46270,19120,25110,37040,56480,81110
Management,WI,129080,45.689,51.97,108100,47570,68480,96450,128840,179390
Business and Financial Operations,WI,137430,48.644,31.23,64950,35430,45750,59370,76800,98460
Computer and Mathematical,WI,76080,26.929,35.82,74520,40480,54000,71680,92100,112130
Architecture and Engineering,WI,51220,18.13,34.2,71130,41420,53460,68170,85210,103080
"Life, Physical, and Social Science",WI,19560,6.923,30.08,62570,32850,42510,57470,76060,99400
Community and Social Service,WI,40750,14.423,20.83,43340,23010,30400,41090,53770,65690
Legal,WI,14120,4.997,43.29,90050,35040,46160,63400,109200,172950
"Education, Training, and Library",WI,163970,58.037,24.29,50520,23200,31170,46500,63750,80470
"Arts, Design, Entertainment, Sports, and Media",WI,33520,11.866,21.99,45740,19330,27640,40450,56810,75710
Healthcare Practitioners and Technical,WI,166510,58.937,37.98,79010,32640,46170,63060,82190,132720
Healthcare Support,WI,71200,25.204,15.49,32210,21830,25740,30530,37140,44760
Protective Service,WI,54690,19.358,21.5,44720,20670,27090,40940,60180,75890
Food Preparation and Serving Related,WI,244680,86.606,10.69,22240,16490,17710,19800,24730,31530
Building and Grounds Cleaning and Maintenance,WI,81740,28.932,13.39,27850,17760,20600,24920,32560,41840
Personal Care and Service,WI,114470,40.52,12.05,25060,17420,19860,23090,27760,35060
Sales and Related,WI,266090,94.184,19.17,39870,17040,19430,26890,47550,78380
Office and Administrative Support,WI,409730,145.029,17.47,36350,20400,26470,34520,43670,55750
"Farming, Fishing, and Forestry",WI,5200,1.84,15.75,32760,18560,23360,30990,39460,49290
Construction and Extraction,WI,102040,36.116,25.34,52700,29610,37380,49570,66420,80500
"Installation, Maintenance, and Repair",WI,109800,38.866,22.33,46450,25970,33960,44570,57200,70410
Production,WI,326800,115.676,18.33,38130,22620,28000,35790,46000,57280
Transportation and Material Moving,WI,206500,73.092,17.33,36040,20460,25870,33650,43660,54880
All,WY,267980,1000,22.91,47650,20090,26930,39120,59460,81320
Management,WY,11690,43.608,48.53,100950,44160,64840,89890,121780,162970
Business and Financial Operations,WY,8220,30.682,32.85,68320,35690,45860,59720,77700,102050
Computer and Mathematical,WY,2660,9.916,30.79,64030,36510,46260,60380,76770,96010
Architecture and Engineering,WY,4170,15.568,37.76,78530,42690,55710,72190,93820,120600
"Life, Physical, and Social Science",WY,3980,14.86,27.4,56990,29370,38230,54940,70400,83090
Community and Social Service,WY,4000,14.933,23,47850,27120,35640,46670,58900,71910
Legal,WY,1580,5.881,36.5,75910,37710,47410,62510,87220,122310
"Education, Training, and Library",WY,20170,75.277,23.34,48540,26080,31710,46900,61740,75160
"Arts, Design, Entertainment, Sports, and Media",WY,2870,10.698,20.58,42800,20250,27140,37290,52880,70430
Healthcare Practitioners and Technical,WY,14400,53.722,38.82,80750,33990,46920,63040,84300,134240
Healthcare Support,WY,6890,25.694,15.23,31670,21950,26010,29960,36090,42980
Protective Service,WY,5690,21.235,21.94,45640,24640,32850,41970,57540,71170
Food Preparation and Serving Related,WY,24570,91.674,11.76,24460,16650,18100,21150,28330,37900
Building and Grounds Cleaning and Maintenance,WY,11360,42.402,14.19,29520,19500,22460,27370,34860,43350
Personal Care and Service,WY,8310,30.997,13.07,27180,17660,20410,24710,30470,40510
Sales and Related,WY,24620,91.862,17.25,35880,17570,20580,26220,38950,62300
Office and Administrative Support,WY,35070,130.854,17.38,36140,21340,26660,34210,43060,54680
"Farming, Fishing, and Forestry",WY,570,2.14,15.01,31220,19750,23890,29040,35910,48920
Construction and Extraction,WY,25740,96.069,24.73,51430,31450,37370,47870,62570,77920
"Installation, Maintenance, and Repair",WY,16920,63.148,26.73,55590,28340,38120,52530,71280,89640
Production,WY,12330,46.007,26.07,54220,24370,33160,49560,72850,92460
Transportation and Material Moving,WY,22180,82.771,21.6,44930,21870,29670,40670,56910,75550
All,GU,61520,1000,17.3,35980,18380,19480,27030,42720,63910
Management,GU,5170,84.107,33.46,69590,29460,41040,59420,84190,118750
Business and Financial Operations,GU,2390,38.866,24.76,51500,27020,34840,47980,64850,81800
Computer and Mathematical,GU,580,9.468,24.71,51390,26510,34340,45890,65000,85830
Architecture and Engineering,GU,980,15.979,27.51,57210,28630,38960,51750,72240,92480
"Life, Physical, and Social Science",GU,380,6.222,26.33,54770,29120,37150,49000,72240,89020
Community and Social Service,GU,810,13.206,22.04,45830,25310,32340,44860,56760,66970
Legal,GU,370,6.033,32.81,68240,30590,41490,60730,93450,116370
"Education, Training, and Library",GU,4430,72.082,21.19,44070,21130,24880,39670,56200,70320
"Arts, Design, Entertainment, Sports, and Media",GU,590,9.513,19.29,40130,18580,21590,30600,56040,76390
Healthcare Practitioners and Technical,GU,1990,32.319,33.16,68970,26850,34780,50540,72150,128940
Healthcare Support,GU,810,13.198,13.06,27160,18900,20750,25580,30350,39320
Protective Service,GU,2680,43.494,18,37440,18350,19330,34350,48930,63290
Food Preparation and Serving Related,GU,6450,104.837,9.95,20700,18000,18540,19280,20440,24960
Building and Grounds Cleaning and Maintenance,GU,3380,54.884,10.09,21000,17920,18490,19200,20350,26120
Personal Care and Service,GU,1340,21.699,10.54,21930,18030,18650,19690,23900,29490
Sales and Related,GU,5000,81.315,11.71,24360,17960,18540,19610,24820,33840
Office and Administrative Support,GU,10820,175.855,14.11,29340,18480,19700,24800,35410,48330
"Farming, Fishing, and Forestry",GU,60,1.024,13.7,28500,19000,20590,24410,32430,45720
Construction and Extraction,GU,4870,79.101,14.82,30820,19920,25700,29380,34890,41010
"Installation, Maintenance, and Repair",GU,3210,52.126,16.13,33550,19010,22240,29270,39640,56890
Production,GU,1510,24.48,14.65,30480,18510,19440,25470,37630,50600
Transportation and Material Moving,GU,3700,60.19,13.76,28610,18340,19060,21660,32800,52820
All,PR,875780,1000,13.91,28930,16440,17750,20300,32500,49640
Management,PR,38230,43.657,35.62,74080,29470,41440,60300,91830,131760
Business and Financial Operations,PR,42030,47.991,18.52,38520,18460,23500,32540,47570,66840
Computer and Mathematical,PR,10660,12.175,21.06,43800,19910,27480,39000,55590,75280
Architecture and Engineering,PR,13690,15.633,26.7,55530,25540,35730,49660,71750,95540
"Life, Physical, and Social Science",PR,5640,6.444,22.83,47490,21790,29320,40880,59840,84190
Community and Social Service,PR,15670,17.897,14.07,29270,17560,20890,27110,35010,45140
Legal,PR,4730,5.405,30.54,63530,25610,35940,52450,84800,109250
"Education, Training, and Library",PR,65910,75.264,17.05,35470,17580,22180,32210,44160,53820
"Arts, Design, Entertainment, Sports, and Media",PR,7300,8.335,15.43,32090,16780,18750,26470,38540,52870
Healthcare Practitioners and Technical,PR,52420,59.854,17.67,36740,17440,20860,29050,38280,63440
Healthcare Support,PR,9940,11.35,9.99,20780,16290,17230,18790,21720,28980
Protective Service,PR,54050,61.714,12.23,25430,16640,17970,20720,32080,37510
Food Preparation and Serving Related,PR,70990,81.063,9.02,18750,16180,16920,18160,19430,22340
Building and Grounds Cleaning and Maintenance,PR,40270,45.982,9.75,20290,16240,17110,18550,20410,28990
Personal Care and Service,PR,16240,18.538,9.46,19670,16130,16940,18290,19810,24880
Sales and Related,PR,107290,122.51,10.67,22190,16030,16950,18470,22020,33350
Office and Administrative Support,PR,161830,184.784,11.82,24580,16480,17770,20130,28180,38910
"Farming, Fishing, and Forestry",PR,1870,2.138,10.38,21600,16090,16980,18470,21600,30790
Construction and Extraction,PR,27410,31.298,10.34,21500,16290,17210,18750,21820,31780
"Installation, Maintenance, and Repair",PR,29270,33.424,12.97,26980,16570,18130,22700,33340,44140
Production,PR,57100,65.2,11.55,24030,16370,17510,19450,25880,37500
Transportation and Material Moving,PR,43220,49.346,10.54,21920,16280,17180,18690,21460,31300
All,VI,37490,1000,19.12,39770,18730,21280,30670,47530,68240
Management,VI,3420,91.198,36.22,75330,27460,43030,61100,85520,123510
Business and Financial Operations,VI,1380,36.831,27.32,56820,31140,41080,51440,66920,84190
Computer and Mathematical,VI,350,9.403,26.93,56010,32900,39700,49650,63120,84350
Architecture and Engineering,VI,190,5.18,27.61,57420,26610,32270,52610,79760,99450
"Life, Physical, and Social Science",VI,290,7.618,23.59,49060,27060,35260,45760,60200,78330
Community and Social Service,VI,480,12.75,21.07,43820,23570,31650,40680,53860,67780
Legal,VI,500,13.38,48.78,101460,38730,50560,77600,129260,193580
"Education, Training, and Library",VI,2440,65.023,21.24,44180,22070,29520,40740,51830,69670
"Arts, Design, Entertainment, Sports, and Media",VI,300,7.933,21.85,45450,21250,32100,45270,59230,70700
Healthcare Practitioners and Technical,VI,1100,29.264,32.62,67840,24160,35110,55170,84560,122470
Healthcare Support,VI,400,10.6,14.22,29580,19900,23990,27860,31400,41050
Protective Service,VI,2450,65.444,16.51,34340,18680,20320,29980,41320,56430
Food Preparation and Serving Related,VI,4650,124.156,13.39,27850,18200,19030,21630,29200,41330
Building and Grounds Cleaning and Maintenance,VI,2160,57.701,12.36,25700,18550,19840,23630,29490,36500
Personal Care and Service,VI,1300,34.567,12.67,26350,18140,18870,21050,29340,45170
Sales and Related,VI,3810,101.694,13.33,27720,18140,18880,21970,30730,48520
Office and Administrative Support,VI,6470,172.446,15.83,32930,18840,21320,29190,40170,54350
"Farming, Fishing, and Forestry",VI,30,0.846,16.52,34370,25880,28020,31590,40160,48030
Construction and Extraction,VI,1320,35.079,20.31,42250,26230,31510,38370,50090,62200
"Installation, Maintenance, and Repair",VI,1510,40.205,17.78,36990,21970,26670,33510,44300,57950
Production,VI,840,22.534,18.35,38160,19720,25650,33280,48030,61390
Transportation and Material Moving,VI,2110,56.148,14.89,30970,18800,20560,26370,36180,48070
